Training Topic,Training Date,Training Start Time,Training End Time
Computer Forensics,2021-09-24,10,12
Network Administration,2021-10-12,14,17
Predictive Maintenance,2023-09-06,13,17
Virtualization,2023-01-14,16,18
Cognitive Computing,2022-03-24,14,17
Software Development,2022-11-24,10,13
Cloud Security,2021-07-27,9,13
Cloud Security,2021-02-19,9,18
5G Technology,2022-01-24,10,11
Computational Biology,2022-11-09,12,16
UX/UI Design,2024-03-13,9,17
Enterprise Resource Planning (ERP),2023-02-25,14,16
Nanotechnology,2021-04-22,16,18
Human-Computer Interaction,2021-11-26,12,17
5G Technology,2022-03-08,12,16
Virtualization,2022-08-18,11,14
UX/UI Design,2022-08-08,9,15
Virtualization,2021-03-25,10,13
Computer Forensics,2023-04-17,9,17
Ethical Hacking,2023-01-04,15,17
Virtualization,2024-02-07,14,15
Semiconductor Manufacturing,2022-02-28,10,14
Information Security,2024-02-15,9,13
Data Engineering,2021-07-21,12,18
Internet of Things (IoT),2021-03-23,14,16
Virtualization,2021-02-19,13,17
Human-Computer Interaction,2022-09-02,13,17
Embedded Systems,2021-11-25,9,14
Quality Assurance and Testing,2023-08-30,15,16
IT Infrastructure Management,2023-06-13,12,16
Information Security,2023-06-18,9,14
Geographical Information Systems (GIS),2021-01-05,10,16
Business Intelligence,2024-01-23,10,16
Data Science,2021-10-18,9,11
Natural Language Processing (NLP),2023-06-30,11,18
Geographical Information Systems (GIS),2022-06-22,15,17
Information Security,2021-10-24,11,17
Embedded Systems,2021-03-26,16,18
Network Administration,2024-01-11,16,17
Embedded Systems,2022-09-03,14,15
Mobile App Development,2023-03-17,16,18
Enterprise Resource Planning (ERP),2021-03-15,16,17
Technical Writing and Documentation,2021-10-05,15,17
Industrial Automation,2023-10-16,16,18
Robotics,2023-10-11,12,15
Game Development,2022-02-18,13,15
Cloud Security,2023-02-23,12,13
Enterprise Resource Planning (ERP),2022-08-17,10,15
Game Development,2023-08-29,14,17
Human-Computer Interaction,2022-09-09,16,17
Embedded Systems,2022-12-28,14,17
Predictive Maintenance,2022-04-01,15,18
System Administration,2022-08-13,13,16
Semiconductor Manufacturing,2023-08-09,14,15
Natural Language Processing,2021-03-04,12,16
Predictive Maintenance,2023-07-10,12,15
Data Science,2022-11-08,13,14
Cloud Computing,2024-03-14,13,14
Software Development,2022-11-24,12,18
Soft Skill Training,2023-09-28,16,17
Cloud Computing,2022-02-27,9,17
Enterprise Resource Planning (ERP),2021-01-14,13,14
Business Intelligence,2021-04-13,13,18
Natural Language Processing,2023-04-29,15,18
Soft Skill Training,2024-03-04,11,14
Blockchain Technology,2023-04-15,12,18
Mobile App Development,2021-11-24,10,15
Digital Marketing Analytics,2024-02-13,11,18
Human-Computer Interaction,2021-03-19,14,16
Computational Biology,2022-10-15,12,18
Cybersecurity,2021-02-21,13,14
System Administration,2022-06-12,16,17
Penetration Testing,2023-01-30,16,18
Renewable Energy Systems,2023-01-17,9,10
Semiconductor Manufacturing,2023-03-15,14,17
Cloud Security,2024-01-06,14,18
Virtualization,2023-08-14,10,18
5G Technology,2022-08-30,12,17
Internet of Things (IoT),2023-05-28,14,16
Internet of Things (IoT),2022-07-23,16,18
Wireless Communication,2022-02-13,10,16
Renewable Energy Systems,2023-01-24,14,17
UX/UI Design,2023-06-09,10,17
Quantum Computing,2022-08-25,15,16
Digital Marketing Analytics,2021-06-26,10,11
Game Development,2021-05-23,10,18
Embedded Systems,2021-03-15,11,18
Penetration Testing,2021-05-09,9,13
Quantum Computing,2024-01-21,11,13
Web Development,2023-11-30,9,15
Predictive Maintenance,2022-07-22,14,17
Penetration Testing,2023-07-03,10,17
Supply Chain Management Systems,2022-09-12,12,13
Supply Chain Management Systems,2021-12-14,12,16
Virtualization,2021-11-26,13,15
UX/UI Design,2022-06-11,11,17
Blockchain Technology,2021-03-01,15,17
Network Administration,2021-10-16,11,16
Cloud Computing,2022-12-09,9,17
DevOps,2023-05-19,12,13
Wireless Communication,2021-06-28,14,16
Digital Marketing Analytics,2021-11-05,15,18
Enterprise Resource Planning (ERP),2021-02-05,10,16
Quality Assurance and Testing,2021-12-30,13,14
Predictive Maintenance,2022-10-06,10,11
Industrial Automation,2023-04-06,14,17
Information Security,2021-10-29,10,13
Soft Skill Training,2023-02-02,15,17
Technical Writing and Documentation,2023-08-12,12,13
Software Development,2023-11-06,9,12
Mobile App Development,2023-05-09,14,16
Soft Skill Training,2021-08-16,11,14
IT Infrastructure Management,2022-06-08,11,12
Virtualization,2022-12-01,15,16
Natural Language Processing,2023-01-24,14,18
Technical Writing and Documentation,2022-09-30,11,18
Human-Computer Interaction,2021-07-08,11,15
UX/UI Design,2021-12-21,11,16
Ethical Hacking,2023-07-17,12,15
Supply Chain Management Systems,2022-06-23,13,17
System Administration,2021-06-30,12,15
Wireless Communication,2022-03-19,15,17
Nanotechnology,2022-06-02,10,15
Geographical Information Systems (GIS),2023-09-24,10,18
Data Science,2021-04-22,13,18
Penetration Testing,2023-05-03,12,17
Big Data Analytics,2021-12-30,11,16
Computer Forensics,2022-11-12,10,17
Natural Language Processing (NLP),2022-12-06,16,17
System Administration,2022-04-12,13,14
Computer Vision,2022-09-18,14,17
Technical Writing and Documentation,2023-06-16,15,17
Internet of Things (IoT),2022-08-30,14,17
Industrial Automation,2023-10-17,12,15
Virtual Reality (VR),2021-07-09,10,12
Wireless Communication,2023-02-15,13,16
Computer Vision,2021-12-06,11,14
Machine Learning,2024-02-24,9,13
Nanotechnology,2022-04-13,15,17
Computer Vision,2022-07-16,9,16
Data Science,2022-07-22,13,18
Cloud Security,2022-08-22,11,12
Embedded Systems,2022-12-26,10,15
Software Development,2021-02-03,9,11
Information Security,2023-03-16,15,18
Supply Chain Management Systems,2023-06-25,12,16
Human-Computer Interaction,2022-03-30,9,13
Artificial Intelligence,2023-06-02,15,16
Software Development,2023-06-11,14,18
Virtual Reality (VR),2021-07-09,9,12
Natural Language Processing,2021-12-26,16,17
Wireless Communication,2023-10-09,10,18
Renewable Energy Systems,2022-01-12,11,16
Digital Marketing Analytics,2024-03-07,12,15
Quality Assurance and Testing,2021-08-14,16,17
IT Infrastructure Management,2022-10-25,13,15
Cognitive Computing,2021-11-26,9,15
DevOps,2023-04-21,16,17
Virtualization,2024-02-29,11,13
Quality Assurance and Testing,2021-06-19,12,16
Game Development,2024-02-23,13,18
Industrial Automation,2023-04-18,16,18
Cloud Computing,2023-12-24,14,17
Natural Language Processing (NLP),2023-12-22,10,11
Cognitive Computing,2021-03-31,15,16
Ethical Hacking,2022-09-20,14,17
Web Development,2021-10-05,12,16
Ethical Hacking,2023-04-29,11,12
Renewable Energy Systems,2022-11-20,12,17
Software Development,2021-05-24,14,15
Data Science,2023-09-02,14,16
Supply Chain Management Systems,2021-09-26,16,18
Natural Language Processing,2021-08-04,14,17
Web Development,2022-11-21,12,17
Human-Computer Interaction,2021-09-17,13,15
DevOps,2022-12-07,9,16
Internet of Things (IoT),2023-07-02,9,16
Big Data Analytics,2023-05-18,14,16
IT Infrastructure Management,2022-06-06,9,12
5G Technology,2022-03-12,15,18
Artificial Intelligence,2022-10-26,15,18
Virtualization,2022-12-25,15,18
System Administration,2024-02-15,13,17
Penetration Testing,2021-04-28,10,16
Machine Learning,2023-11-08,9,12
Computational Biology,2023-05-04,9,18
5G Technology,2022-11-19,13,18
Software Development,2023-03-24,11,17
Semiconductor Manufacturing,2023-07-13,9,13
